ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
8508/3	Preferred	Cystic hypersecretory carcinoma	(C50._)	[obs]	NA	NA	NA	NA	NA
8509/2	Preferred	Solid papillary carcinoma in situ	(C50._)	NA	NA	NA	NA	NA	NA
8509/2	Related	Endocrine mucin-producing sweat gland carcinoma in situ	(C44._)	NA	NA	NA	NA	NA	NA
8509/3	Preferred	Solid papillary carcinoma with invasion	(C50._)	NA	NA	NA	NA	NA	NA
8509/3	Related	Endocrine mucin-producing sweat gland carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8510/3	Preferred	Medullary carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8510/3	Related	Medullary adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8510/3	Related	Medullary-like carcinoma	NA	NA	NA	NA	NA	NA	NA
8512/3	Preferred	Medullary carcinoma with lymphoid stroma	NA	[obs]	NA	NA	NA	NA	NA
8513/3	Preferred	Atypical medullary carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8514/3	Preferred	Duct carcinoma, desmoplastic type	NA	NA	NA	NA	NA	NA	NA
8519/2	Preferred	Lobular carcinoma in situ, pleomorphic	(C50._)	NA	NA	NA	NA	NA	NA
8519/2	Synonym	LCIS, pleomorphic	(C50._)	NA	NA	NA	NA	NA	NA
8520/2	Preferred	Lobular carcinoma in situ, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8520/2	Synonym	LCIS, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8520/2	Synonym	Lobular carcinoma, noninfiltrating	(C50._)	NA	NA	NA	NA	NA	NA
8520/2	Synonym	Lobular carcinoma in situ, classic	(C50._)	NA	NA	NA	NA	NA	NA
8520/2	Related	Intraductal papilloma with lobular carcinoma in situ	(C50._)	NA	NA	NA	NA	NA	NA
8520/3	Preferred	Lobular carcinoma, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8520/3	Synonym	Infiltrating lobular carcinoma, NOS	(C50._)	NA	NA	NA	NA	NA	NA
8520/3	Synonym	Lobular adenocarcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8520/3	Related	Tubulolobular carcinoma	NA	NA	NA	NA	NA	NA	NA
8520/3	Related	Lobular carcinoma, pleomorphic	(C50._)	NA	NA	NA	NA	NA	NA
8521/3	Preferred	Infiltrating ductular carcinoma	NA	NA	NA	NA	NA	NA	NA
8522/2	Preferred	Intraductal carcinoma and lobular carcinoma in situ	(C50._)	NA	NA	NA	NA	NA	NA
8522/3	Preferred	Infiltrating duct and lobular carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8522/3	Synonym	Lobular and ductal carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8522/3	Related	Intraductal and lobular carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8522/3	Related	Infiltrating duct and lobular carcinoma in situ	(C50._)	NA	NA	NA	NA	NA	NA
8522/3	Related	Infiltrating lobular carcinoma and ductal carcinoma in situ	(C50._)	NA	NA	NA	NA	NA	NA
8523/3	Preferred	Infiltrating duct mixed with other types of carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8523/3	Related	Infiltrating duct and colloid carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8523/3	Related	Infiltrating duct and cribriform carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8523/3	Related	Infiltrating duct and mucinous carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8523/3	Related	Infiltrating duct and tubular carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8524/3	Preferred	Infiltrating lobular mixed with other types of carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8525/3	Preferred	Polymorphous adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8525/3	Synonym	Polymorphous carcinoma	NA	NA	NA	NA	NA	NA	NA
8525/3	Synonym	Terminal duct adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8530/3	Preferred	Inflammatory carcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8530/3	Synonym	Inflammatory adenocarcinoma	(C50._)	NA	NA	NA	NA	NA	NA
8540/3	Preferred	Paget disease, mammary	(C50._)	NA	NA	NA	NA	NA	NA
8540/3	Synonym	Paget disease of breast	(C50._)	NA	NA	NA	NA	NA	NA
8540/3	Synonym	Paget disease of nipple	(C50.0)	NA	NA	NA	NA	NA	NA
8541/3	Preferred	Paget disease and infiltrating duct carcinoma of breast	(C50._)	NA	NA	NA	NA	NA	NA
8542/3	Preferred	Paget disease, extramammary	NA	NA	NA	NA	NA	(except of bone: not neoplastic)	NA
8543/3	Preferred	Paget disease and intraductal carcinoma of breast	(C50._)	NA	NA	NA	NA	NA	NA
855	2	Acinar cell neoplasms	NA	NA	NA	NA	NA	NA	NA
8550/0	Preferred	Acinar cell adenoma	NA	NA	NA	NA	NA	NA	NA
8550/0	Synonym	Acinar adenoma	NA	NA	NA	NA	NA	NA	NA
8550/0	Synonym	Acinic cell adenoma	NA	NA	NA	NA	NA	NA	NA
8550/1	Preferred	Acinar cell tumor	NA	[obs]	NA	NA	NA	NA	NA
8550/1	Synonym	Acinic cell tumor	NA	[obs]	NA	NA	NA	NA	NA
8550/3	Preferred	Acinar cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8550/3	Synonym	Acinar adenocarcinoma, NOS	NA	NA	NA	NA	NA	(except of lung M-8551/3 or prostate M-8140/3)	NA
8550/3	Synonym	Acinar carcinoma	NA	NA	NA	NA	NA	NA	NA
8550/3	Synonym	Acinic cell adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8551/3	Preferred	Acinar cell cystadenocarcinoma	NA	[obs]	NA	NA	NA	NA	NA
8551/3	Related	Acinar adenocarcinoma of lung	(C34._)	NA	NA	NA	NA	NA	NA
8552/3	Preferred	Mixed acinar-ductal carcinoma	NA	NA	NA	NA	NA	NA	NA
856-857	2	Complex epithelial neoplasms	NA	NA	NA	NA	NA	NA	NA
8560/0	Preferred	Mixed squamous cell and glandular papilloma	NA	NA	NA	NA	NA	NA	NA
8560/0	Synonym	Tubulosquamous polyp	NA	NA	NA	NA	NA	NA	NA
8560/3	Preferred	Adenosquamous carcinoma	NA	NA	NA	NA	NA	NA	NA
8560/3	Synonym	Mixed adenocarcinoma and epidermoid carcinoma	NA	NA	NA	NA	NA	NA	NA
8560/3	Synonym	Mixed adenocarcinoma and squamous cell carcinoma	NA	NA	NA	NA	NA	NA	NA
8560/3	Related	Squamoid eccrine ductal carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8561/0	Preferred	Adenolymphoma	(C07._, C08._)	NA	NA	NA	NA	NA	NA
8561/0	Synonym	Papillary cystadenoma lymphomatosum	(C07._, C08._)	NA	NA	NA	NA	NA	NA
8561/0	Synonym	Warthin tumor	(C07._, C08._)	NA	NA	NA	NA	NA	NA
8562/3	Preferred	Epithelial-myoepithelial carcinoma	NA	NA	NA	NA	NA	NA	NA
8563/0	Preferred	Lymphadenoma	NA	NA	NA	NA	NA	NA	NA
8570/3	Preferred	Adenocarcinoma with squamous metaplasia	NA	NA	NA	NA	NA	NA	NA
8570/3	Synonym	Adenoacanthoma	NA	NA	NA	NA	NA	NA	NA
8570/3	Related	Endometrioid carcinoma with squamous differentiation	NA	NA	NA	NA	NA	NA	NA
8571/3	Preferred	Adenocarcinoma with cartilaginous and osseous metaplasia	NA	NA	NA	NA	NA	NA	NA
8571/3	Synonym	Adenocarcinoma with cartilaginous metaplasia	NA	NA	NA	NA	NA	NA	NA
8571/3	Synonym	Adenocarcinoma with chondroid differentiation	NA	NA	NA	NA	NA	NA	NA
8571/3	Synonym	Adenocarcinoma with osseous metaplasia	NA	NA	NA	NA	NA	NA	NA
8572/3	Preferred	Adenocarcinoma with spindle cell metaplasia	NA	NA	NA	NA	NA	NA	NA
8572/3	Synonym	Acinar adenocarcinoma, sarcomatoid variant	NA	NA	NA	NA	NA	NA	NA
8572/3	Related	Fibromatosis-like metaplastic carcinoma	NA	NA	NA	NA	NA	NA	NA
8573/3	Preferred	Adenocarcinoma with apocrine metaplasia	NA	NA	NA	NA	NA	NA	NA
8573/3	Synonym	Carcinoma with apocrine metaplasia	NA	NA	NA	NA	NA	NA	NA
8574/3	Preferred	Adenocarcinoma with neuroendocrine differentiation	NA	NA	NA	NA	NA	NA	NA
8574/3	Synonym	Carcinoma with neuroendocrine differentiation	NA	NA	NA	NA	NA	NA	NA
8574/3	Synonym	Adenocarcinoma admixed with neuroendocrine carcinoma	NA	NA	NA	NA	NA	NA	NA
8575/3	Preferred	Metaplastic carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8576/3	Preferred	Hepatoid adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8576/3	Synonym	Hepatoid carcinoma	NA	NA	NA	NA	NA	NA	NA
858	2	Thymic epithelial neoplasms	NA	NA	NA	NA	NA	NA	NA
8580/0	Preferred	Microscopic thymoma	(C37.9)	NA	NA	NA	NA	NA	NA
8580/0	Related	Thymoma, benign	(C37.9)	NA	NA	NA	NA	NA	NA
8580/1	Preferred	Micronodular thymoma with lymphoid stroma	(C37.9)	NA	NA	NA	NA	NA	NA
8580/3	Preferred	Thymoma, NOS	(C37.9)	NA	NA	NA	NA	NA	NA
8580/3	Related	Intrapulmonary thymoma	(C34._)	NA	NA	NA	NA	NA	NA
8580/3	Related	Sclerosing thymoma	(C37.9)	NA	NA	NA	NA	NA	NA
8580/3	Related	Metaplastic thymoma	(C37.9)	NA	NA	NA	NA	NA	NA
8581/3	Preferred	Thymoma, type A	(C37.9)	NA	NA	NA	NA	NA	NA
8581/3	Synonym	Thymoma, medullary	(C37.9)	[obs]	NA	NA	NA	NA	NA
8581/3	Synonym	Thymoma, spindle cell	(C37.9)	[obs]	NA	NA	NA	NA	NA
8582/3	Preferred	Thymoma, type AB	(C37.9)	NA	NA	NA	NA	NA	NA
8582/3	Synonym	Thymoma, mixed type	(C37.9)	NA	NA	NA	NA	NA	NA
8583/3	Preferred	Thymoma, type B1	(C37.9)	NA	NA	NA	NA	NA	NA
8583/3	Synonym	Thymoma, lymphocyte-rich	(C37.9)	[obs]	NA	NA	NA	NA	NA
8583/3	Synonym	Thymoma, lymphocytic	(C37.9)	[obs]	NA	NA	NA	NA	NA
8583/3	Synonym	Thymoma, organoid	(C37.9)	[obs]	NA	NA	NA	NA	NA
8583/3	Synonym	Thymoma, predominantly cortical	(C37.9)	[obs]	NA	NA	NA	NA	NA
8584/3	Preferred	Thymoma, type B2	(C37.9)	NA	NA	NA	NA	NA	NA
8584/3	Synonym	Thymoma, cortical	(C37.9)	[obs]	NA	NA	NA	NA	NA
8585/3	Preferred	Thymoma, type B3	(C37.9)	NA	NA	NA	NA	NA	NA
8585/3	Synonym	Thymoma, atypical	(C37.9)	[obs]	NA	NA	NA	NA	NA
8585/3	Synonym	Thymoma, epithelial	(C37.9)	[obs]	NA	NA	NA	NA	NA
8585/3	Synonym	Well differentiated thymic carcinoma	(C37.9)	[obs]	NA	NA	NA	NA	NA
8586/3	Preferred	Thymic carcinoma, NOS	(C37.9)	NA	NA	NA	NA	NA	NA
8586/3	Synonym	Thymoma, type C	(C37.9)	NA	NA	NA	NA	NA	NA
8587/0	Preferred	Ectopic hamartomatous thymoma	NA	NA	NA	NA	NA	NA	NA
8588/3	Preferred	Spindle epithelial tumor with thymus-like element	NA	NA	NA	NA	NA	NA	NA
8588/3	Synonym	SETTLE	NA	NA	NA	NA	NA	NA	NA
8588/3	Synonym	Spindle epithelial tumor with thymus-like differentiation	NA	NA	NA	NA	NA	NA	NA
8589/3	Preferred	Intrathyroid thymic carcinoma	(C73.9)	NA	NA	NA	NA	NA	NA
8589/3	Synonym	Carcinoma showing thymus-like element	NA	NA	NA	NA	NA	NA	NA
8589/3	Synonym	Carcinoma showing thymus-like differentiation	NA	NA	NA	NA	NA	NA	NA
8589/3	Synonym	CASTLE	NA	NA	NA	NA	NA	NA	NA
859-867	2	Specialized gonadal neoplasms	NA	NA	NA	NA	NA	NA	NA
8590/0	Preferred	Sex cord-stromal tumor, benign	NA	NA	NA	NA	NA	NA	NA
8590/0	Related	Signet-ring stromal tumor	NA	NA	NA	NA	NA	NA	NA
8590/0	Related	Microcystic stromal tumor	NA	NA	NA	NA	NA	NA	NA
8590/1	Preferred	Sex cord-gonadal stromal tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8590/1	Synonym	Gonadal stromal tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8590/1	Synonym	Sex cord tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8590/1	Synonym	Sex cord-stromal tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8590/1	Synonym	Ovarian stromal tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8590/1	Synonym	Testicular stromal tumor	(C62._)	NA	NA	NA	NA	NA	NA
8590/1	Related	Uterine tumor resembling ovarian sex cord tumor	NA	NA	NA	NA	NA	NA	NA
8591/1	Preferred	Sex cord-gonadal stromal tumor, incompletely differentiated	NA	NA	NA	NA	NA	NA	NA
8591/1	Related	Sex cord-stromal tumor, unclassified	NA	NA	NA	NA	NA	NA	NA
8592/1	Preferred	Sex cord-gonadal stromal tumor, mixed forms	NA	NA	NA	NA	NA	NA	NA
8592/1	Synonym	Sex cord-gonadal stromal tumor, mixed	NA	NA	NA	NA	NA	NA	NA
8593/1	Preferred	Stromal tumor with minor sex cord elements	(C56.9)	NA	NA	NA	NA	NA	NA
8594/1	Preferred	Mixed germ cell-sex cord-stromal tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8594/1	Related	Mixed germ cell-sex cord-stromal tumor, unclassified	NA	NA	NA	NA	NA	NA	NA
8600/0	Preferred	Thecoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8600/0	Synonym	Theca cell tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8600/3	Preferred	Thecoma, malignant	(C56.9)	NA	NA	NA	NA	NA	NA
8601/0	Preferred	Thecoma, luteinized	(C56.9)	NA	NA	NA	NA	NA	NA
8602/0	Preferred	Sclerosing stromal tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8610/0	Preferred	Luteoma, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8610/0	Synonym	Luteinoma	(C56.9)	NA	NA	NA	NA	NA	NA
8620/1	Preferred	Adult granulosa cell tumor of testis	(C62._)	NA	NA	NA	NA	NA	NA
8620/1	Synonym	Granulosa cell tumor of testis, NOS	(C62._)	NA	NA	NA	NA	NA	NA
8620/3	Preferred	Adult granulosa cell tumor of ovary	(C56.9)	NA	NA	NA	NA	NA	NA
8620/3	Related	Granulosa cell tumor, adult type	(C56.9)	NA	NA	NA	NA	NA	NA
8620/3	Related	Granulosa cell carcinoma	(C56.9)	[obs]	NA	NA	NA	NA	NA
8620/3	Related	Granulosa cell tumor, sarcomatoid	(C56.9)	NA	NA	NA	NA	NA	NA
8621/1	Preferred	Granulosa cell-theca cell tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8621/1	Synonym	Theca cell-granulosa cell tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8622/0	Preferred	Granulosa cell tumor of testis, juvenile	(C62._)	NA	NA	NA	NA	NA	NA
8622/1	Preferred	Granulosa cell tumor, juvenile	(C56.9)	NA	NA	NA	NA	(except of testis M-8622/0)	NA
8623/1	Preferred	Sex cord tumor with annular tubules	(C56.9)	NA	NA	NA	NA	NA	NA
8630/0	Preferred	Androblastoma, benign	NA	[obs]	NA	NA	NA	NA	NA
8630/0	Synonym	Arrhenoblastoma, benign	NA	[obs]	NA	NA	NA	NA	NA
8630/1	Preferred	Androblastoma, NOS	NA	[obs]	NA	NA	NA	NA	NA
8630/1	Synonym	Arrhenoblastoma, NOS	NA	[obs]	NA	NA	NA	NA	NA
8630/3	Preferred	Androblastoma, malignant	NA	[obs]	NA	NA	NA	NA	NA
8630/3	Synonym	Arrhenoblastoma, malignant	NA	[obs]	NA	NA	NA	NA	NA
8631/0	Preferred	Sertoli-Leydig cell tumor, well differentiated	NA	NA	NA	NA	NA	NA	NA
8631/1	Preferred	Sertoli-Leydig cell tumor of intermediate differentiation, NOS	NA	NA	NA	NA	NA	NA	NA
8631/1	Synonym	Sertoli-Leydig cell tumor, moderately differentiated	NA	NA	NA	NA	NA	NA	NA
8631/1	Related	Sertoli-Leydig cell tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8631/3	Preferred	Sertoli-Leydig cell tumor, poorly differentiated	NA	NA	NA	NA	NA	NA	NA
8631/3	Related	Sertoli-Leydig cell tumor, sarcomatoid	NA	NA	NA	NA	NA	NA	NA
8632/1	Preferred	Gynandroblastoma	(C56.9)	NA	NA	NA	NA	NA	NA
8633/1	Preferred	Sertoli-Leydig cell tumor, retiform	NA	NA	NA	NA	NA	NA	NA
8634/1	Preferred	Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements	NA	NA	NA	NA	NA	NA	NA
8634/1	Synonym	Sertoli-Leydig cell tumor, moderately differentiated, with heterologous elements	NA	NA	NA	NA	NA	NA	NA
8634/1	Related	Sertoli-Leydig cell tumor, retiform, with heterologous elements	NA	NA	NA	NA	NA	NA	NA
8634/3	Preferred	Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements	NA	NA	NA	NA	NA	NA	NA
8640/1	Preferred	Sertoli cell tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8640/1	Synonym	Tubular androblastoma, NOS	NA	NA	NA	NA	NA	NA	NA
8640/1	Synonym	Pick tubular adenoma	NA	NA	NA	NA	NA	NA	NA
8640/1	Synonym	Sertoli cell adenoma	NA	NA	NA	NA	NA	NA	NA
8640/1	Synonym	Testicular adenoma	NA	NA	NA	NA	NA	NA	NA
8640/3	Preferred	Sertoli cell carcinoma	(C62._)	NA	NA	NA	NA	NA	NA
8641/0	Preferred	Sertoli cell tumor with lipid storage	NA	NA	NA	NA	NA	NA	NA
8641/0	Synonym	Folliculome lipidique	(C56.9)	NA	NA	NA	NA	NA	NA
8641/0	Synonym	Lipid-rich Sertoli cell tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8641/0	Synonym	Tubular androblastoma with lipid storage	(C56.9)	NA	NA	NA	NA	NA	NA
8642/1	Preferred	Large cell calcifying Sertoli cell tumor	NA	NA	NA	NA	NA	NA	NA
8643/1	Preferred	Intratubular large cell hyalinizing Sertoli cell neoplasia	NA	NA	NA	NA	NA	NA	NA
8650/0	Preferred	Leydig cell tumor of ovary, NOS	(C56.9)	NA	NA	NA	NA	NA	NA
8650/1	Preferred	Leydig cell tumor of testis, NOS	(C62._)	NA	NA	NA	NA	NA	NA
8650/1	Synonym	Interstitial cell tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8650/3	Preferred	Leydig cell tumor, malignant	(C62._)	NA	NA	NA	NA	NA	NA
8650/3	Synonym	Interstitial cell tumor, malignant	NA	NA	NA	NA	NA	NA	NA
8660/0	Preferred	Hilus cell tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8660/0	Synonym	Hilar cell tumor	(C56.9)	NA	NA	NA	NA	NA	NA
8670/0	Preferred	Lipid cell tumor of ovary	(C56.9)	NA	NA	NA	NA	NA	NA
8670/0	Synonym	Steroid cell tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8670/0	Synonym	Lipoid cell tumor of ovary	(C56.9)	NA	NA	NA	NA	NA	NA
8670/0	Related	Masculinovoblastoma	(C56.9)	NA	NA	NA	NA	NA	NA
8670/3	Preferred	Steroid cell tumor, malignant	NA	NA	NA	NA	NA	NA	NA
8671/0	Preferred	Adrenal rest tumor	NA	NA	NA	NA	NA	NA	NA
868-871	2	Paragangliomas and glomus tumors	NA	NA	NA	NA	NA	NA	NA
8680/3	Preferred	Paraganglioma, NOS	(C75.5)	NA	NA	NA	NA	NA	NA
8681/3	Preferred	Sympathetic paraganglioma	NA	NA	NA	NA	NA	NA	NA
8682/3	Preferred	Parasympathetic paraganglioma	NA	NA	NA	NA	NA	NA	NA
8683/0	Preferred	Gangliocytic paraganglioma	(C17.0)	NA	NA	NA	NA	NA	NA
8690/3	Preferred	Middle ear paraganglioma	(C75.5)	NA	NA	NA	NA	NA	NA
8690/3	Synonym	Glomus jugulare tumor, NOS	(C75.5)	NA	NA	NA	NA	NA	NA
8690/3	Synonym	Jugular paraganglioma	(C75.5)	NA	NA	NA	NA	NA	NA
8690/3	Synonym	Jugulotympanic paraganglioma	(C75.5)	NA	NA	NA	NA	NA	NA
8691/3	Preferred	Aortic body tumor	(C75.5)	NA	NA	NA	NA	NA	NA
8691/3	Synonym	Aortic body paraganglioma	(C75.5)	NA	NA	NA	NA	NA	NA
8691/3	Synonym	Aorticopulmonary paraganglioma	(C75.5)	NA	NA	NA	NA	NA	NA
8692/3	Preferred	Carotid body paraganglioma	(C75.4)	NA	NA	NA	NA	NA	NA
8692/3	Synonym	Carotid body tumor	(C75.4)	NA	NA	NA	NA	NA	NA
8693/3	Preferred	Extra-adrenal paraganglioma, NOS	NA	NA	NA	NA	NA	NA	NA
8693/3	Related	Nonchromaffin paraganglioma, NOS	NA	NA	NA	NA	NA	NA	NA
8693/3	Related	Laryngeal paraganglioma	NA	NA	NA	NA	NA	NA	NA
8693/3	Related	Vagal paraganglioma	NA	NA	NA	NA	NA	NA	NA
8693/3	Related	Chemodectoma	NA	[obs]	NA	NA	NA	NA	NA
8693/3	Related	Composite paraganglioma	NA	NA	NA	NA	NA	NA	NA
8700/3	Preferred	Pheochromocytoma, NOS	(C74.1)	NA	NA	NA	NA	NA	NA
8700/3	Synonym	Adrenal medullary paraganglioma	(C74.1)	NA	NA	NA	NA	NA	NA
8700/3	Synonym	Chromaffin paraganglioma	NA	NA	NA	NA	NA	NA	NA
8700/3	Synonym	Chromaffin tumor	NA	NA	NA	NA	NA	NA	NA
8700/3	Synonym	Chromaffinoma	NA	NA	NA	NA	NA	NA	NA
8700/3	Related	Composite pheochromocytoma	(C74.1)	NA	NA	NA	NA	NA	NA
8700/3	Synonym	Pheochromoblastoma	(C74.1)	NA	NA	NA	NA	NA	NA
8710/3	Preferred	Glomangiosarcoma	NA	NA	NA	NA	NA	NA	NA
8710/3	Synonym	Glomoid sarcoma	NA	NA	NA	NA	NA	NA	NA
8711/0	Preferred	Glomus tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8711/1	Preferred	Glomangiomatosis	NA	NA	NA	NA	NA	NA	NA
8711/1	Related	Glomus tumor of uncertain malignant potential	NA	NA	NA	NA	NA	NA	NA
8711/3	Preferred	Glomus tumor, malignant	NA	NA	NA	NA	NA	NA	NA
8712/0	Preferred	Glomangioma	NA	NA	NA	NA	NA	NA	NA
8713/0	Preferred	Glomangiomyoma	NA	NA	NA	NA	NA	NA	NA
8714/0	Preferred	Perivascular epithelioid tumor, benign	NA	NA	NA	NA	NA	NA	NA
8714/0	Synonym	PEComa, benign	NA	NA	NA	NA	NA	NA	NA
8714/3	Preferred	Perivascular epithelioid tumor, malignant	NA	NA	NA	NA	NA	NA	NA
8714/3	Synonym	PEComa, malignant	NA	NA	NA	NA	NA	NA	NA
872-879	2	Nevi and melanomas	NA	NA	NA	NA	NA	NA	NA
8720/0	Preferred	Pigmented nevus, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8720/0	Synonym	Nevus, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8720/0	Synonym	Melanocytic nevus, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8720/0	Related	Hairy nevus	(C44._)	NA	NA	NA	NA	NA	NA
8720/0	Related	Nevus spilus	(C44._)	NA	NA	NA	NA	NA	NA
8720/0	Related	Meyerson nevus	(C44._)	NA	NA	NA	NA	NA	NA
8720/0	Related	Deep penetrating nevus	(C44._)	NA	NA	NA	NA	NA	NA
8720/0	Related	Combined nevus	(C44._)	NA	NA	NA	NA	NA	NA
8720/0	Related	Genital nevus	NA	NA	NA	NA	NA	NA	NA
8720/0	Related	Conjunctival nevus	(C69.0)	NA	NA	NA	NA	NA	NA
8720/2	Preferred	Melanoma in situ	NA	NA	NA	NA	NA	NA	NA
8720/3	Preferred	Malignant melanoma, NOS	NA	NA	NA	NA	NA	(except of soft parts M-9044/3)	NA
8720/3	Synonym	Melanoma, NOS	NA	NA	NA	NA	NA	NA	NA
8720/3	Related	Nevoid melanoma	(C44._)	NA	NA	NA	NA	NA	NA
8720/3	Related	Melanoma, meningeal	(C70._)	NA	NA	NA	NA	NA	NA
8721/3	Preferred	Nodular melanoma	(C44._)	NA	NA	NA	NA	NA	NA
8722/0	Preferred	Balloon cell nevus	(C44._)	NA	NA	NA	NA	NA	NA
8722/3	Preferred	Balloon cell melanoma	(C44._)	NA	NA	NA	NA	NA	NA
8723/0	Preferred	Halo nevus	(C44._)	NA	NA	NA	NA	NA	NA
8723/0	Synonym	Regressing nevus	(C44._)	NA	NA	NA	NA	NA	NA
8723/3	Preferred	Malignant melanoma, regressing	(C44._)	NA	NA	NA	NA	NA	NA
8725/0	Preferred	Neuronevus	(C44._)	NA	NA	NA	NA	NA	NA
8726/0	Preferred	Magnocellular nevus	(C69.4)	NA	NA	NA	NA	NA	NA
8726/0	Synonym	Melanocytoma, eyeball	(C69.4)	NA	NA	NA	NA	NA	NA
8726/0	Related	Melanocytoma, NOS	NA	NA	(see also M-8780/1)	NA	NA	NA	NA
8727/0	Preferred	Dysplastic nevus	(C44._)	NA	NA	NA	NA	NA	NA
8728/0	Preferred	Meningeal melanocytosis	(C70.9)	NA	NA	NA	NA	NA	NA
8728/0	Related	Diffuse melanocytosis	(C70.9)	NA	NA	NA	NA	NA	NA
8728/1	Preferred	Meningeal melanocytoma	(C70.9)	NA	NA	NA	NA	NA	NA
8728/3	Preferred	Meningeal melanomatosis	(C70.9)	NA	NA	NA	NA	NA	NA
8730/0	Preferred	Nonpigmented nevus	(C44._)	NA	NA	NA	NA	NA	NA
8730/0	Synonym	Achromic nevus	(C44._)	NA	NA	NA	NA	NA	NA
8730/3	Preferred	Amelanotic melanoma	(C44._)	NA	NA	NA	NA	NA	NA
8740/0	Preferred	Junctional nevus, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8740/0	Synonym	Intraepidermal nevus	(C44._)	NA	NA	NA	NA	NA	NA
8740/0	Synonym	Junction nevus	(C44._)	NA	NA	NA	NA	NA	NA
8740/3	Preferred	Malignant melanoma in junctional nevus	(C44._)	NA	NA	NA	NA	NA	NA
8741/2	Preferred	Precancerous melanosis, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8741/3	Preferred	Malignant melanoma in precancerous melanosis	(C44._)	NA	NA	NA	NA	NA	NA
8742/0	Preferred	Lentiginous melanocytic nevus	(C44._)	NA	NA	NA	NA	NA	NA
8742/0	Related	Simple lentigo	(C44._)	NA	NA	NA	NA	NA	NA
8742/0	Synonym	Lentigo simplex	(C44._)	NA	NA	NA	NA	NA	NA
8742/2	Preferred	Lentigo maligna	(C44._)	NA	NA	NA	NA	NA	NA
8742/2	Synonym	Hutchinson melanotic freckle, NOS	(C44._)	NA	NA	NA	NA	NA	NA
8742/3	Preferred	Lentigo maligna melanoma	(C44._)	NA	NA	NA	NA	NA	NA
8742/3	Synonym	Malignant melanoma in Hutchinson melanotic freckle	(C44._)	NA	NA	NA	NA	NA	NA
8743/3	Preferred	Low cumulative sun damage melanoma	(C44._)	NA	NA	NA	NA	NA	NA
8743/3	Related	Superficial spreading melanoma	(C44._)	NA	NA	NA	NA	NA	NA
8744/0	Preferred	Acral nevus	(C44._)	NA	NA	NA	NA	NA	NA
8744/3	Preferred	Acral melanoma	(C44._)	NA	NA	NA	NA	NA	NA
8744/3	Synonym	Acral lentiginous melanoma, malignant	(C44._)	NA	NA	NA	NA	NA	NA
